"","F2020 dataset","Species filter","Alt>=0","Month in (2-12)","Alt<=500","N/rndLat > 1"
"Total # obs","258343","216742","207902","207789","200562","200320"
"N species","100","83","83","83","82","77"
"N species-region datasets","105","87","87","87","86","81"
"#obs per dataset","192 (15-51819)","140 (15-51819)","140 (15-49478)","140 (15-49421)","63.5 (1-49107)","68 (2-49104)"
"#obs per latitudinal band / onset AY","6 (1-15678)","6 (1-15678)","6 (1-15439)","6 (1-15425)","5 (1-15422)","11 (2-15422)"
"#obs per annual onset","2 (1-1113)","2 (1-1113)","2 (1-1113)","2 (1-1113)","2 (1-1113)","2 (1-1113)"
"Number of onsets (all years) per lat band","1","1","1","1","1","1"
"Number of annual onsets per lat band","4 (1-105)","4 (1-105)","4 (1-103)","4 (1-103)","3 (1-103)","7 (1-103)"
"Number of lat bands per dataset ","18 (5-34)","17 (5-33)","17 (5-33)","17 (5-33)","9 (1-32)","7 (1-27)"
"Number of onsets (all years) per dataset","20 (5-37)","19 (5-37)","19 (5-37)","19 (5-39)","10 (1-34)","7 (1-31)"
"Number of annual onsets per dataset","107 (11-1020)","84 (11-1020)","84 (11-1013)","84 (11-1012)","36.5 (1-962)","43 (1-960)"
